A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Genesis 4:22,Birth of Tubal-Cain-Son of Lamech by Zillah,"It is estimated that Tubal-Cain is born one year after his father, Lamech takes two wives. The Calendar Day Number (CD#25) is one-fifth of the number of completed years since Creation Day 3 of Creation Week. CD#25 is the DFC date for events happening between 3991 BC and 3987 BC.",EDFC,25,128,46620,Sunday,November,10,Heshvan,21,3987,BC,Sunday,June,11,Sivan,24,3973,BC,L,236,270478.75,0,0,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Genesis 4:21,Birth of Jubal-Son of Lamech by Adah,"It is estimated that Jubal is born two years and one day after his father, Lamech takes two wives. Like all DFC and EDFC dates in the Bible Timeline, the Calendar Day Number (CD#26) is one-fifth of the number of completed years since Creation Day 3 of Creation Week. CD#26 is the DFC date for events happening between 3986 BC and 3982 BC.",EDFC,26,129,46985,Monday,November,11,Heshvan,22,3986,BC,Monday,June,11,Sivan,22,3972,BC,N,234,270843.75,1,1,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Genesis 4:22,Birth of Naamah-Daughter of Lamech by Zillah,"It is estimated that Naamah is born three years and one day after her father Lamech takes two wives. This date would mean she was born the same DFC date as Seth, son of Adam.",EDFC,26,130,47349,Monday,November,11,Heshvan,22,3985,BC,Monday,June,10,Sivan,21,3971,BC,N,233,271207.75,1,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Genesis 4:25, 5:3; Luke 3:38",Birth of Seth-Son of Adam,"Seth is the firstborn in the “sacred line” or “blessed” heirs of Adam and Eve. The lineage of Jesus can be traced back though Seth to Adam. The sacred line of Jesus, through Joseph, the husband of Mary, is found in Matthew 1:1-17. This unique section of Scripture uses 14 consecutive 40-year spans for connecting generations, rather than the actual birth order of father and son. The sacred line of Jesus, through his mother, Mary, can be found in Luke 3:23-38. In contrast, the “secular line” refers to the descendants of Cain. Many of Cain’s descendants are named in order of birth, without giving the age of the father at the time of the heir’s birth. There is no way to precisely track secular line descendants in a Timeline. Those who follow in the secular line are generally historic enemies of their brothers in the “sacred line”. Jacob and Esau, Isaac and Ishmael, would be good examples of family lines that are frequent enemies in history. \pThe birth of Seth is the first DFC date that can be accurately measured from the number of years from Creation given in the Biblical text. The DFC date of birth for Seth is 130 years and 26 days after Creation Day 3 of Creation Week. Seth is born 130 years and 23 days after the creation of his parents, Adam and Eve on Creation Day 6 in 4115 BC. Seth is the father of Enosh. Jesus would come from the patriarchs passing through King David. The Calendar Day Number (CD#26) is one-fifth of the number of completed years since Creation Day 3 of Creation Week. CD#26 is the DFC date for events happening between 3986 BC and 3982 BC.",DFC,26,130,47349,Monday,November,11,Heshvan,22,3985,BC,Monday,June,10,Sivan,21,3971,BC,N,233,271207.75,0,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Genesis 5:6; Luke 3:38,Birth of Enosh-Son of Seth,"The DFC date of birth for Enosh is 105 years and 21 days after the birth of his father, Seth. Enosh is the father of Cainan. CD#47 is one-fifth of the number of completed years since Creation Week in 4115 BC. CD#47 is the DFC date for events happening between 3981 BC and 3977 BC.",DFC,47,235,85590,Monday,December,2,Kislev,13,3880,BC,Monday,February,21,Adar,1,3866,BC,N,124,309448.75,105,21,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Genesis 5:9; Luke 3:37-38,Birth of Cainan-Son of Enosh,"The DFC date of birth for Cainan is 90 years and 18 days after the birth of his father, Enosh. Cainan is the father of Mahalalel. CD#65 is one-fifth of the number of completed years since Creation Week. CD#65 is the DFC date for events happening between 3791 BC and 3987 BC.",DFC,65,325,118368,Friday,December,20,Tevet,1,3790,BC,Friday,November,19,Heshvan ,29,3777,BC,L,33,342226.75,90,18,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Genesis 5:12; Luke 3:37,Birth of Mahalalel-Son of Cainan,"The DFC date for the birth of Mahalalel is 70 years and 14 days after the birth of his father, Cainan. Mahalalel is the father of Jared. CD#79 is one-fifth of the number of completed years since Creation Week. CD#79 is the DFC date for events happening between 3721 BC and 3917 BC.",DFC,79,395,143862,Friday,January,4,Tevet,15,3719,BC,Friday,September ,7,Elul,21,3707,BC,N,322,367720.75,70,14,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Genesis 5:15; Luke 3:37,Birth of Jared-Son of Mahalalel,"The DFC date for the birth of Jared is 65 years and 13 days after the birth of his father, Mahalalel. Jared is the father of Enoch. CD#92 is one-fifth of the number of completed years since Creation Week. CD#92 is the DFC date for events happening between 3656 BC and 3652 BC.",DFC,92,460,167535,Thursday,January,17,Tevet,28,3654,BC,Thursday,July,2,Tammuz,13,3642,BC,N,255,391393.75,65,13,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Genesis 5:18; Luke 3:37,Birth of Enoch-Son of Jared,"The DFC date for the birth of Enoch is 162 years and 32 days after the birth of his father, Jared. Enoch is the father of Methuselah. CD#124 is one-fifth of the number of completed years since Creation Week. CD#124 is the DFC date for events happening between 3496 BC and 3492 BC.",DFC,124,622,226535,Monday,February,19,Adar,1,3492,BC,Monday,January,13,Tevet,21,3480,BC,N,85,450393.75,162,32,124.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Genesis 5:21; Luke 3:37,Birth of Methuselah-Son of Enoch,"The DFC date for the birth of Methuselah is 65 years and 13 days after the birth of his father, Enoch. Methuselah is the father of Lamech. CD#137 is one-fifth of the number of completed years since Creation Week. CD#137 is the DFC date for events happening between 3431 BC and 3427 BC.",DFC,137,687,250208,Sunday,March,2,Adar,14,3427,BC,Sunday,November,6,Heshvan ,14,3416,BC,N,18,474066.75,65,13,137.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Genesis 5:25; Luke 3:36-37,Birth of Lamech-Son of Methuselah,"The DFC date for the birth of Lamech is 187 years and 38 days after the birth of his father, Methuselah. Lamech is the father of Noah. CD#175 is one-fifth of the number of completed years since Creation Week. CD#175 is the DFC date for events happening between 3241 BC and 3237 BC.",DFC,175,874,318314,Wednesday,April,9,Nisan,22,3240,BC,Wednesday,April,26,Iyar,7,3229,BC,L,190,542172.75,187,38,174.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Genesis 5:4-5,Death of Adam-Son of God at 930,The DFC date for the death of Adam is 930 years and 183 days from his creation on the sixth day of Creation Week. The DFC date for the birth of Noah is only 112 years and 22 days after the DFC date of Adam’s death. This puts Noah birth less than three forty-year generations from the life of Adam. CD#186 is one-fifth of the number of completed years since Creation Week. CD#186 is the DFC date for events happening between 3186 BC and 3182 BC. This is a very important patriarchal DFC date.,DFC,186,930,338709,Sunday,April,20,Iyar,3,3184,BC,Sunday,February,27,Adar,8,3173,BC,L,131,562567.75,56,11,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Genesis 5:21-24,"""Rapture"" of Enoch-Son of Jared at 365",Enoch is “raptured”. He does not die. The DFC date of his “rapture” is 365 years and 73 days after his birth. CD#197 is one-fifth of the number of completed years since Creation Week. CD#197 is the DFC date for events happening between 3131 BC and 3127 BC.,DFC,197,987,359468,Thursday,May,1,Iyar,14,3127,BC,Thursday,December,28,Tevet,8,3117,BC,L,72,583326.75,57,11,197.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Genesis 5:1-8,Death of Seth-Son of Adam at 912,The DFC date of the death of Seth is 912 years and 182 days from his birth. CD#208 is one-fifth of the number of completed years since Creation Week. CD#208 is the DFC date for events happening between 3076 BC and 3072 BC.,DFC,208,1042,379499,Monday,May,12,Iyar,25,3072,BC,Monday,November,2,Heshvan ,10,3062,BC,N,14,603357.75,55,11,208.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Genesis 5:28-29; Luke 3:36,Birth of Noah-Son of Lamech,"The DFC date for the birth of Noah is 182 years and 36 days after the birth of his father, Lamech. CD#211 is one-fifth of the number of completed years since Creation Week. The 600th year of Noah and the death of Methuselah, in the year of the Flood, would come 600 years and 120 days after this event. CD#211 is the DFC date for events happening between 3061 BC and 3057 BC.",DFC,211,1056,384598,Thursday,May,15,Iyar,28,3058,BC,Thursday,October,18,Creation Day,2,3048,BC,N,363,608456.75,14,3,211.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Genesis 5:9-11,Death of Enosh-Son of Seth at 905,The DFC date of the death of Enosh is 905 years and 181 days from his birth. CD#228 is one-fifth of the number of completed years since Creation Week. CD#228 is the DFC date for events happening between 2976 BC and 2972 BC.,DFC,228,1140,415191,Sunday,June,1,Sivan,16,2974,BC,Sunday,July,23,Av,5,2964,BC,N,276,639049.75,84,17,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Genesis 5:12-14,Death of Cainan-Son of Enosh at 910,The DFC date of the death of Cainan is 910 years and 182 days from his birth. CD#247 is one-fifth of the number of completed years since Creation Week. CD#247 is the DFC date for events happening between 2881 BC and 2877 BC.,DFC,247,1235,449790,Friday,June,20,Tammuz,5,2879,BC,Friday,April,15,Nisan,26,2869,BC,L,179,673648.75,95,19,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
